mean,std,min,max,median,contrast,energy,homogeneity,correlation,fft_mean,fft_std,fft_energy,fft_max,edge_density,edge_count,edge_strength,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,label,image
0.2028927672143076,0.16194344378045983,0.0,0.9294117647058824,0.2235294117647059,167.11833639705887,0.06869743475979853,0.3202580823781634,0.9509221037233535,11.160800656419337,65.51322916308077,289442802.34666675,13296.780392156863,0.1253662109375,8216,2095080,0.050750732421875,0.0802459716796875,0.0504302978515625,0.097900390625,0.15625,0.1271820068359375,0.080902099609375,0.088958740234375,0.1323394775390625,0.135040283203125,pituitary,0664.jpg
0.20423536113664215,0.14733892467149715,0.0,0.9607843137254902,0.21568627450980393,177.66879595588236,0.044045421511905096,0.2681790764972552,0.9368875390282771,11.680999930894547,63.40270109913268,272390439.9639523,13384.76862745098,0.158355712890625,10378,2646390,0.0493316650390625,0.0772705078125,0.05572509765625,0.1060791015625,0.1814727783203125,0.128509521484375,0.0777740478515625,0.0829620361328125,0.114959716796875,0.12591552734375,pituitary,1269.jpg
0.19681833304610905,0.16191249506557573,0.0,0.9333333333333333,0.2,175.83815870098036,0.05664845518782751,0.285007644262369,0.9483653307990776,12.073771744701169,64.11701180132532,278971493.0220683,12898.686274509804,0.1345977783203125,8821,2249355,0.052947998046875,0.0819549560546875,0.05535888671875,0.1031951904296875,0.158721923828125,0.1228179931640625,0.08001708984375,0.0882720947265625,0.1196746826171875,0.1370391845703125,pituitary,0733.jpg
0.20635298186657475,0.14751241076575738,0.0,1.0,0.23137254901960785,133.13046875000003,0.03673354959189071,0.23180405707090632,0.9528230513415271,10.917255506615554,64.01168445476297,276344485.61162627,13523.549019607843,0.1551971435546875,10171,2593605,0.045623779296875,0.080108642578125,0.0597076416015625,0.1220703125,0.178192138671875,0.138702392578125,0.0868072509765625,0.0808563232421875,0.093231201171875,0.1147003173828125,pituitary,0106.jpg
0.1922549378638174,0.1419762804286863,0.0,0.9686274509803922,0.2,187.4965992647059,0.045793607746848625,0.2711250542944815,0.9283036789535298,12.32895352410234,59.927977245285064,245325204.79692423,12599.619607843137,0.1495819091796875,9803,2499765,0.048095703125,0.076904296875,0.0523681640625,0.1058807373046875,0.191802978515625,0.12847900390625,0.07550048828125,0.0796661376953125,0.117584228515625,0.12371826171875,pituitary,0375.jpg
0.1876019047755821,0.1278945952653646,0.0,0.8745098039215686,0.20392156862745098,128.36845894607845,0.045901830702987804,0.28547085001815387,0.9394330381924285,10.316163959466822,57.20188814720256,221412015.8949326,12294.678431372547,0.1444091796875,9464,2413320,0.0472869873046875,0.07403564453125,0.05523681640625,0.107513427734375,0.1791229248046875,0.1338348388671875,0.07855224609375,0.082183837890625,0.115966796875,0.1262664794921875,pituitary,1700.jpg
0.1932269526462929,0.14975251640832013,0.0,0.9137254901960784,0.19215686274509805,170.45894607843138,0.04548720622731545,0.2716271331852635,0.9414465247213749,12.730221174631218,61.27425882447665,256677860.18940413,12663.321568627453,0.1613616943359375,10575,2696625,0.0489959716796875,0.075592041015625,0.05340576171875,0.1058502197265625,0.1893310546875,0.1323089599609375,0.07666015625,0.08270263671875,0.1146087646484375,0.12054443359375,pituitary,1075.jpg
0.17692781336167282,0.1542341641424628,0.0,0.9647058823529412,0.17647058823529413,126.72270220588236,0.08554476110204436,0.38408259675367734,0.9590065873650204,11.416959212647585,58.99269454480786,236616742.8183006,11595.141176470588,0.108795166015625,7130,1818150,0.03668212890625,0.062774658203125,0.0408477783203125,0.1004486083984375,0.1800537109375,0.148651123046875,0.0707855224609375,0.07586669921875,0.1827239990234375,0.101165771484375,pituitary,0285.jpg
0.2292878992417279,0.17312472759562803,0.0,0.9725490196078431,0.23137254901960785,177.46668198529417,0.035752449121615765,0.2504812353819398,0.9543946615989528,13.232984588862887,72.3502908202158,354528556.67254126,15026.611764705882,0.1442718505859375,9455,2411025,0.0528564453125,0.0775299072265625,0.0583648681640625,0.1103057861328125,0.182525634765625,0.12664794921875,0.077392578125,0.0823822021484375,0.1018829345703125,0.1301116943359375,pituitary,0591.jpg
0.23616985246246935,0.1769540311149816,0.0,0.9607843137254902,0.2549019607843137,132.72035845588235,0.0650034065652443,0.3564052825635193,0.9673188651825804,11.901031656389714,74.60446000878875,374044099.0639292,15477.627450980392,0.114715576171875,7518,1917090,0.0285491943359375,0.0561370849609375,0.0431365966796875,0.1175689697265625,0.2173309326171875,0.16571044921875,0.077301025390625,0.0669708251953125,0.1381683349609375,0.0891265869140625,pituitary,0799.jpg
